id,title,type,averageRating,numVotes,releaseYear,one_genre,year_genre_rank
tt30577236,Die Uitdaging,tvSeries,9.4,9,2024,Reality-TV,2
tt32055602,Sounds Delicious with Carnie Wilson,tvSeries,9.4,9,2024,Reality-TV,3
tt31070639,Nana Tour With Seventeen,tvSeries,9.3,133,2024,Reality-TV,4
tt31121774,The Challenge: Home Turf,tvSeries,9.2,27,2024,Reality-TV,5
tt32328588,Katlaa Curry,movie,9.8,21,2024,Romance,1
tt34284832,We Are Faheem & Karun,movie,9.8,6,2024,Romance,2
tt30654296,Romantic Life,movie,9.7,25,2024,Romance,3
tt32345447,If My Lover Were a Flower,movie,9.7,6,2024,Romance,4
tt32582123,Bewafa Darling,movie,9.7,10,2024,Romance,5
tt34471840,Maddhim,movie,9.3,17,2024,Sci-Fi,1
tt32079785,Janani - AI Ki Kahani,tvSeries,9.1,78,2024,Sci-Fi,2
tt32270451,Bharatiya Superheroes the Origin,movie,8.9,61,2024,Sci-Fi,3
tt33371517,Personal Reset,movie,8.8,11,2024,Sci-Fi,4
tt32600358,He Has Gone Rogue - The Return of Cyrus,movie,8.7,30,2024,Sci-Fi,5
tt33081471,Date Night Mastered,tvSeries,7.9,12,2024,Short,1
tt32441253,Passion of Iron,movie,9.6,12,2024,Sport,1
tt27905623,Off the Line,movie,9.0,11,2024,Sport,2
tt32751895,2024-2025 UEFA Champions League,tvSeries,9.0,10,2024,Sport,3
tt32316456,2024 ICC Men's T20 World Cup,tvSeries,8.8,21,2024,Sport,4
tt32014235,WWE Speed,tvSeries,8.6,24,2024,Sport,5
tt33079176,On the Go with Gabe,tvSeries,9.1,10,2024,Talk-Show,1
tt32543344,The D-Con Chamber,tvSeries,9.0,7,2024,Talk-Show,2
tt31023165,America's Most Wanted,tvSeries,8.9,23,2024,Talk-Show,3
tt31520405,Bom Partido,tvSeries,8.7,28,2024,Talk-Show,4
tt31962904,Lafda Central,tvSeries,8.7,31,2024,Talk-Show,5
tt16078114,Jugalbandhi,movie,9.8,141,2024,Thriller,1
tt27678908,Dheera Samrat,movie,9.8,96,2024,Thriller,2
tt31115226,Nasoor - Let's Restart,movie,9.8,19,2024,Thriller,3
tt32246348,Ajaan,movie,9.8,6,2024,Thriller,4
tt33384716,Punha Ekda Chaurang,movie,9.8,6,2024,Thriller,5
tt29580232,Hengyang 1944,movie,7.7,8,2024,War,1
tt28329243,The Liberation Men,movie,6.8,51,2024,War,2
tt32032875,The Proof Is Out There: Military Mysteries,tvSeries,6.8,69,2024,War,3
tt33069630,Naam Namak Nishan,tvSeries,6.6,169,2024,War,4
tt34377254,Sentinelles - Ukraine,tvSeries,6.4,14,2024,War,5
tt19715532,Was Once a Hero,movie,8.9,10,2024,Western,1
tt31151709,The Ecstasy of Gold: The Treasure of Jesse James,movie,7.8,5,2024,Western,2
tt19177354,Escanyapobres,movie,7.7,23,2024,Western,3
tt30089813,The Tall Tales of Jim Bridger,tvSeries,7.7,85,2024,Western,4
tt21625826,Harsh Treatment,movie,7.6,9,2024,Western,5
